filename,shot_type,temperature,chain_of_thought,structured_output,composite_score,story_accuracy,story_f1,suspense_accuracy,suspense_rmse,curiosity_accuracy,curiosity_rmse,surprise_accuracy,surprise_rmse
multi_shot_temp0.2_cotYes_structuredYes_cv_results.json,multi,0.2,True,True,0.13024546498341796,0.7799431009957325,0.766202868544435,0.39217638691322904,0.8473409302673923,0.46244665718349925,0.9832758560673461,0.35988620199146515,0.9584751518705931
multi_shot_temp0.4_cotYes_structuredYes_cv_results.json,multi,0.4,True,True,0.12719034513365493,0.7745376955903271,0.7586391456011479,0.3813655761024183,0.8913202825043502,0.4780938833570413,0.9682164284853151,0.37069701280227596,0.9629861424008335
multi_shot_temp0.6_cotYes_structuredYes_cv_results.json,multi,0.6,True,True,0.1268165665244378,0.7637268847795164,0.7506837066201213,0.3812233285917496,0.899439509726274,0.45149359886201995,0.9981566567679065,0.40284495021337136,0.9011689579085937
multi_shot_temp0.8_cotYes_structuredYes_cv_results.json,multi,0.8,True,True,0.12546002269212547,0.785064011379801,0.773918141457158,0.36543385490753916,0.9184754233528389,0.4728307254623044,1.040909305727502,0.42460881934566147,0.9740482734817704
few_shot_temp0.4_cotYes_structuredYes_cv_results.json,few,0.4,True,True,0.1160389386279192,0.8229018492176386,0.8058951748723123,0.381792318634424,0.9141438000259925,0.4248933143669985,1.0578784195278585,0.33357041251778097,1.0568055246648211
one_shot_temp0.6_cotYes_structuredYes_cv_results.json,one,0.6,True,True,0.09548692443356997,0.8226173541963016,0.7932514634212747,0.3655761024182077,0.9689567393420117,0.3546230440967283,1.1304583231114322,0.3817923186344239,1.114241746596586
few_shot_temp0.2_cotYes_structuredYes_cv_results.json,few,0.2,True,True,0.09437366155602651,0.7957325746799431,0.7776598491770116,0.38193456614509247,0.9336357133483577,0.36031294452347085,1.1129049913423266,0.34381223328591753,1.0814740005338752
few_shot_temp0.8_cotYes_structuredYes_cv_results.json,few,0.8,True,True,0.09128132091772473,0.7795163584637269,0.7592456764873372,0.3600284495021337,0.9954067688375,0.3493598862019915,1.092575585855113,0.41337126600284496,1.059629451502786
one_shot_temp0.2_cotYes_structuredYes_cv_results.json,one,0.2,True,True,0.08676634563913138,0.8281650071123755,0.8013167775979074,0.2900426742532006,0.9893221492769448,0.37638691322901846,1.1422475055428678,0.32816500711237556,1.0823726142660683
few_shot_temp0.6_cotYes_structuredYes_cv_results.json,few,0.6,True,True,0.08146189602026639,0.7796586059743955,0.7639773203917525,0.36059743954480805,0.9487841398311891,0.36031294452347085,1.0955711871916713,0.3172119487908962,1.1293412507343061
one_shot_temp0.8_cotYes_structuredYes_cv_results.json,one,0.8,True,True,0.07148260773438224,0.8118065433854909,0.7904598972627445,0.32233285917496446,1.0688347365582518,0.33342816500711236,1.1776463471380303,0.3547652916073969,1.1273937905762235
one_shot_temp0.4_cotYes_structuredYes_cv_results.json,one,0.4,True,True,0.06568962753881392,0.806827880512091,0.7759939226007336,0.2955903271692745,1.0688945484669659,0.32773826458036986,1.1704764409173931,0.33342816500711236,1.1032454931629592
zero_shot_temp0.6_cotYes_structuredYes_cv_results.json,zero,0.6,True,True,0.058449051653524084,0.8495021337126601,0.8381552401259167,0.322475106685633,1.126845669668754,0.3227596017069701,1.2425664693020622,0.3330014224751067,1.2871274548921012
zero_shot_temp0.2_cotYes_structuredYes_cv_results.json,zero,0.2,True,True,0.05070709454033259,0.8332859174964439,0.8222233112623627,0.3120910384068279,1.094379551976203,0.2745376955903272,1.2554135299802702,0.3443812233285918,1.2842104868693156
zero_shot_temp0.4_cotYes_structuredYes_cv_results.json,zero,0.4,True,True,0.04161952938116889,0.8334281650071123,0.8224338839658427,0.33371266002844957,1.0963696785857389,0.2532005689900427,1.2937068922295516,0.30654338549075394,1.3112414218809463
zero_shot_temp0.8_cotYes_structuredYes_cv_results.json,zero,0.8,True,True,0.04094915812568975,0.8118065433854907,0.7938495653803562,0.3226173541963016,1.1102229236705348,0.2638691322901849,1.2617832407343612,0.31152204836415365,1.2492452315232452
